,CV,Roles,Other Roles
101,Nabatame Hitomi,Gladiia,"Margery Daw (Shakugan no Shana), Saori Makishima (OreImo), Ailyth (Valkyrie Profile: Covenant of the Plume), Nanao Ise (Bleach), Yukiji Katsura (Hayate no Gotoku), Jolyne's Mother (JoJo's Bizarre Adventure: Stone Ocean), Windblade (Transformers: Robots In Disguise), Maria Torres (Trauma Team), Millie Chliette (Star Ocean: First Departure), Amy/Viola (Soul Calibur series), Catria, L'Arachel (Fire Emblem Heroes), Bazett Fraga McRemitz (Fate series), Raquel Applegate (Wild Arms IV), Mikoto Suou (School Rumble), Kan'u Unchou (Ikkitousen), Agent, M1887 (Girls' Frontline), Sena (Konosuba), Bastemon (Digimon Ghost Game), Symmetra (Overwatch, Japanese voice)"
102,Naganawa Maria,Weedy,"Platelet (Cells at Work!), Lydie Malen (Atelier Lydie and Suelle), Sig MCX / Savage 99 (Girls' Frontline), Komekko (Konosuba), Raspberry Cookie (Cookie Run: Kingdom), Wamdus (Granblue Fantasy), Nazuna Hiwatashi (BNA: Brand New Animal), Kanna Kamui (Miss Kobayashi's Dragon Maid), USS Laffey (Azur Lane)"
103,Nakahara Mai,Blaze,"Yu Kashima (Gekkan Shoujo Nozaki-kun), Europa (Granblue Fantasy), Rena (Dragalia Lost), Juvia Lockser (Fairy Tail), Estellisse Sidos Heurassein (Tales of Vesperia), Yggdra (Yggdra Union), Reika Rikudou (Fate Apocrypha), 9A-91 (Girls' Frontline), Nagisa Furukawa (Clannad), Ayano Tateyama (Mekakucity Actors), IJN Akagi (Azur Lane), Rena Ryuugu (Higurashi When They Cry)"
104,Nakai Kazuya,Mountain,"Roronoa Zoro (One Piece), Toshiro Hijikata (Gintama), Soma Schicksal (God Eater), Angoramon (Digimon Ghost Game), Iruga Alam (Ragnarok the Animation), Eustace (Granblue Fantasy), Domeki Shizuka, Domeki Haruka (xxxHOLIC), Date Masamune (Sengoku Basara), Travis Touchdown (No More Heroes series), Astram, Helbindi (Fire Emblem Heroes), Shinjiro Aragaki (Persona 3), Jade (Another Eden), Partitio Yellowil (Octopath Traveler 2), Gray Ringmarc (Heart no Kuni no Alice), Young Cu Chulainn, Beowulf (Fate Grand Order), Alex Dudley (Legend of Heroes: Ao no Kiseki and Zero no Kiseki), Raijin (Final Fantasy VIII), Wakka (Final Fantasy X), Gilgamesh (Final Fantasy V), Shigure Rangetsu (Tales of Berseria), Moses Sandor (Tales of Legendia), Jin Sakai (Ghost of Tsushima), Python (Neural Cloud), Mugen (Samurai Champloo)"
105,Nakajima Yui,Aciddrop,"Zeal (Seven Deadly Sins), Kanaka Amaya (Aiura), Hime Nonohara (Tokyo 7th Sisters: Bokura wa Aozora ni Naru)"
106,Nakamura Yūichi,Flamebringer,"Gray Fullbuster (Fairy Tail), Bruno Bucciarati (JoJo's Bizarre Adventure: Golden Wind), Tatsuya Shiba (The Irregular at Magic High School), Tomoya Okazaki (Clannad), Baron (Shadowverse), Kurt Irving (Valkyria Chronicles III), Gojo Satoru (Jujutsu Kaisen), Hotaro Oreki (Hyouka), Steeljaw (Transformers: Robots In Disguise), Shigure Soma (Fruits Basket (2021)), Inggrid (Gran Saga), Karamatsu Matsuno (Mr. Osomatsu), Krervo (Another Eden), Xander, Joe (Dragalia Lost), Hazama/Yuki Terumi (BlazBlue series), David, Okita Souji Alter (With Rengoku skin) (Fate Grand Order), Tsukimiya Ringo (Uta no Prince Sama), Thancred Waters (Final Fantasy XIV), Sieghart (Final Fantasy Brave Exvius), Ravus Nox Fleuret (Final Fantasy XV), Cid Raines (Final Fantasy XIII), Trey (Final Fantasy Type-0), Dion Lesage (Final Fantasy XVI), Romeo, Tsubasa (Granblue Fantasy), Gilgamesh (Fate/protoype), Ryoma (Fire Emblem Fates, Heroes & Warriors), Kazuma Asougi (The Great Ace Attorney: Adventures), Rufus (Valkyrie Profile: Silmeria), Umetarou Nozaki (Gekkan Shoujo Nozaki-kun), Kuroo Tetsurou (Haikyuu), Hawks (My Hero Academia), Kyosuke Kousaka (OreImo), Koji Kashin (Boruto), Malos (Xenoblade Chronicles 2), Joon-gi Han (Yakuza 6: The Song of Life and Yakuza: Like a Dragon), Daybreak (Spy x Family)"
107,Nakano Saima,Tuye,
108,Nazuka Kaori,Astesia,"Nunnally Lamperouge/vi Britannia (Code Geass), Eureka (Eureka Seven), Lynette Bishop (Strike Witches), Shino (.hack G.U series), Mai Taniyama (Ghost Hunt), Protagonist (Amnesia), Uta (One Piece), Totoria Helmold (Atelier Totori: The Alchemist of Arland), Ange Serena (Tales of Innocence), Kiyoko Shimizu (Haikyuu), Chiyo, Mayuki (Gran Saga), Hinoka (Fire Emblem Fates), Flower Girl Bari (Guardian Tales), Totoria Helmold (Atelier Totori: Alchemist of Arland 2), Pomegranate Cookie (Cookie Run: Kingdom), Pearl (Legend of Mana: The Teardrop Crystal), Charlotta (Granblue Fantasy), Spinaria (Shadowverse), Tsubaki Nakatsukasa (Soul Eater), Miyu Edelfelt (Fate/Kaleid Liner Prisma Illya), Hibiki Nekozuka (Blue Archive)"
109,Nishida Nozomi,Ambriel,"Makina Nakajima (Macross Delta), Satori Tamba (Armed Girl's Machiavellism), Tsubasa Arihira (Hachigatsu no Cinderella Nine)"
110,Nogami Shō,Minimalist,"Suguru Doujima (Yagate Kimi ni Naru), Shiki Iseya (The IDOLM@STER SideM), Georg (Highschool DxD Hero)"
111,Nonaka Ai,Glaucus,"Kyoko Sakura (Puella Magi Madoka Magica), HK416 (Girls' Frontline), Myunfa (Another Eden), Frankenstein's Monster, Nursery Rhyme, Mary Read, Medea Lily (Fate series), Karteira (Granblue Fantasy), Towa Kokonoe (Tokyo Xanadu), Renee Kearse (Mana Khemia: Alchemist of Al-Revis), Cinnamon (Mega Man X: Command Mission), Towa Herschel (The Legend of Heroes: Trails of Cold Steel), Tora (Xenoblade Chronicles 2), Honoka (Dead or Alive)"
112,Noda Junko,Blacknight,"Mitsune Konno (Love Hina), Reki (Haibane Renmei), Veemon (Digimon Adventure 02), Young Shirou Emiya (Fate series), Momoko Hoshino (Major), Dio Eraclea (Last Exile)"
113,Noto Mamiko,Reed,"Tiffania Westwood (The Familiar of Zero), Ai Enma (Jigoku Shoujo), Mavis Vermillion (Fairy Tail), Rinko Jerrard (The Law of Ueki), Jun Kazama (Tekken), Fuuka Yamagishi (Persona 3), Lennah (Granblue Fantasy), Catherine (Catherine: Full Body), Elana (Shadowverse), Mistrare (Another Eden), Beverly, Sariel (Alchemy Stars), Garnet Til Alexandros IX/Dagger (Final Fantasy IX), Altera/Scathach/Brynhildr/Scathach-Skadi (Fate series), Fujino Asagami (Kara no Kyoukai), Yukako Yamagishi (Jojo's Bizarre Adventure: Diamond is Unbreakable), Ciel Alençon (God Eater 2), UMP9 (Girls' Frontline), Sawako Kuronuma (Kimi ni Todoke)"
114,Ogura Yui,Rosmontis,"Priestess (Goblin Slayer), Feri Al-Fayed (The Legend of Heroes: Kuro no Kiseki), Tsukiko Tsutsukakushi (HenNeko), Komurasaki (Unbreakable Machine-Doll), Amatsukaze (Kantai Collection), Luna (Shadowverse), Rom (Neptunia series), Eve (Gran Saga), Manhattan Cafe (Uma Musume Pretty Derby), Shiroko Sunaookami (Blue Archive), Minori Hanasato (Project Sekai), March 7th (Honkai: Star Rail), Croque (Neural Cloud)"
115,Ohara Sayaka,"Penance, Tsukinogi","Beatrice (Umineko no Naku Koro ni), Erza Scarlet (Fairy Tail), Yuko Ichihara (xxxHolic), Ningguang (Genshin Impact), Michiru Kaioh/Sailor Neptune (Sailor Moon Crystal), Titania (The Ancient Magus' Bride), Elsie Crimson (Edens Zero), Yomei Higanbana (Onmyouji), Ine Makigami (Air Gear), Masaki Kurosaki (Bleach), Margaret (Persona 4), Aisha (Gran Saga), Selvaria Bles (Valkyria Chronicles III), Livia Sas Junius (Final Fantasy XIV), Mikoto (Fire Emblem Fates), Frost Queen Cookie (Cookie Run: Kingdom), Arshtat, Leknaat, Hazuki, Sharmista (Suikoden V), Consul/Moebius O (Xenoblade Chronicles 3), Sakuya Tachibana (God Eater), Magisa (Granblue Fantasy), Hilda Rhambling (Tales of Rebirth), Irisviel von Einzbern (Fate/Zero), Mercy (Overwatch, Japanese voice)"
116,Ōhashi Ayaka,Angelina,"Uzuki Shimamura (The IDOLM@STER Cinderella Girls), Ran Shibuki (Aikatsu!), Saya Yamabuki (BanG Dream!), Lid (Final Fantasy Brave Exvius), Kurome (Akame ga Kill!)"
117,Ōhashi Ken'ichirō,Vigil,"Jaden Yuki (Yu-Gi-Oh GX), Urianger Agurelt (Final Fantasy XIV), Harle, Karl (Dragalia Lost), Kayn (League of Legend), Apollo Justice (Phoenix Wright: Ace Attorney - Dual Destinies & Spirit of Justice), Patroklos Alexander (Soul Calibur V), Hummel Trabaldo (Ys VIII: Lacrimosa of Dana), Akihito Kanbara (Beyond the Boundary), Berenice Gabrielli (Bleach: Thousand Year Blood War), Fogato (Fire Emblem Engage), Ojelo Gabel (Mobile Suit Gundam: The Witch from Mercury), Toya Setsuno (My Hero Academia), Kamanue (Kimetsu no Yaiba), Kazuma Mikura (Air Gear), Perceval/Vasara (Xenoblade Chronicles 2), David Martinez (Cyberpunk: Edgerunners), Krohnen McDougall (The King of Fighters XV)"
118,Ono Kensho,Enforcer,"Tetsuya Kuroko (Kuroko's Basketball), Yuri Briar (Spy x Family), Vaan (Final Fantasy XII), Knight Cookie (Cookie Run: Kingdom), Ryunosuke Akutagawa (Bungou Stray Dogs), Baal, Ayer (Granblue Fantasy), Mont Leonis (Final Fantasy Brave Exvius: War of the Visions), Marion Blythe (Helios: Rising Heroes), Arata Kaizaki (Re:LIFE), Giorno Giovanna (JoJo's Bizzare Adventure: Golden Wind), Hakuryu Ren (Magi: The Labyrinth of Magic), Yuya Sakaki (Yu-Gi-Oh! Arc-V), Slaine Troyard (Aldnoah.Zero), Mikaela Hyakuya (Seraph of the End), Diluc (Genshin Impact)"
119,Ono Ryōko,Robin,"Airi Sena (Mashiroiro Symphony), Sasara Kusugawa (To Heart 2), Mirajane Strauss (Fairy Tail)"
120,Ono Yūki,Sesa,"Josuke Higashikata (JoJo's Bizarre Adventure: Diamond is Unbreakable), Taiga Kagami (Kuroko's Basketball), Eclair Cookie (Cookie Run: Kingdom), Richard I (Fate/strange fake), Bazz-B (Bleach: Thousand Year Blood War), Louis (Beastars), Clayton (Gran Saga), John H. Watson (Moriarty The Patriot), HAwkeye (Trials of Mana), Locke Cole (Final Fantasy VI), Tetsu Sendagaya (Servamp), Touma Akagi (Tokyo Mirage Sessions #FE), Alciel/Shiro Ashiya (Hataraku Maou Sama), Koga Oogami (Ensemble Stars), Talion Drake (Legend of Heroes: Trails of Cold Steel - North War), Kamui (Sousei no Onmyouji), Yusuke Igarashi (Kiss Him, Not Me), Kazuichi ""Pin"" Arai (Kimi ni Todoke), Haku/Gavin/Bai Qi (Mr Queen's Love Choice), Masayuki Hori (Gekkan Shoujo Nozaki-kun), Gran, Lancelot (Granblue Fantasy)"
121,Orikasa Fumiko,Fiammetta,"Chun-Li (from Street Fighter IV onwards), Rukia Kuchiki (Bleach), Shirley Fenette (Code Geass), Ruki Makino (Digimon Tamers), Lady (Devil May Cry), Black Raisin Cookie (Cookie Run: Kingdom), Shannon (Another Eden), Shelke Rui (Dirge of Cerberus: Final Fantasy VII), Riza Hawkeye (Full Metal Alchemist: Brotherhood), Meyrin Hawke (Mobile Suit Gundam Seed Destiny), Lotte Yanson (Little Witch Academia), Kanade Minamino aka. Cure Rhythm (Suite PreCure)"
122,Ōsaka Ryōta,Ebenholz,"Maou Sadao (The Devil is a Part Timer!), Nariyuki Yuiga (We Never Learn), Keiji Akaashi (Haikyuu!), Fang (Fairy Fencer F), Bennett (Genshin Impact), Yuell (World Flipper), Ryu Yamada (Yamada-kun and The Seven Witches), Blue (Pokemon Masters), Zekus (Last Cloudia), Ledin (Langrisser I & II), Ibara Saegusa (Ensemble Stars), Shishiou (Touken Ranbu), Kevin (Trials of Mana), Nagate Tanikaze (Knights of Sidonia), Ryota Watari (Your Lie in April), Haruto Tokishima (Valvrave The Liberator), Jun Sakurada (Rozen Maiden), Wrath (So I'm a Spider, So What?), Haruto Kaguragi/Lee Seha (Closers (anime), Chat Noir/Adrian Agreste (Miraculous Ladybug), Faris (Dragalia Lost), Gyutaro (Demon Slayer: Kimetsu no Yaiba), Zeon (Xenoblade Chronicles 3), Mikleo (Tales of Zestiria), Adventurer Cookie (Cookie Run: Kingdom), Eijun Sawamura (Ace of Diamond), Percival, Madl (Granblue Fantasy)"
123,Ōsaki Chiyo,Popukar,
124,Ōshita Natsumi,Highmore,
125,Ōtsu Airi,"Matoimaru, Orchid","Monica Ultello (JoJo's Bizzare Adventure: Golden Wind), Draco (Monster Musume no Iru Nichijou), Mimi Toumatsu (High School Fleet), Maria Rasputin (Märchen Mädchen)"
126,Ōwada Hitomi,Mint,"Nia (Xenoblade Chronicles 2 and 3), Tsubame Narumi (New Game!), Klaudia Valentz (Atelier Lulua and Ryza), Midori Imai (Shirobako), Abigail Williams (Fate/Grand Order)"
127,Rū Tin,"Firewatch, Haze","Rei Takanashi (Alice Gear Aegis), Syuko Shiomi (The IDOLM@STER Cinderella Girls)"
128,Saitō Ayaka,Vermeil,"Ruby (Jewelpet), Momiji Soma (Fruits Basket), Mofurun (Mahoutsukai Precure!), Mitsukuni ""Honey"" Haninozuka (Ouran High School Host Club)"
129,Saitō Chiwa,Mayer,"Homura Akemi (Puella Magi Madoka Magica), Aoi Asahina (Danganronpa), Hitagi Senjougahara (Monogatari series), De La Fille (Granblue Fantasy), Natsumi Hinata (Sgt Keroro), Maria Renard (Castlevania: Harmony of Despair), Metis (Persona 3 FES), Taokaka (Blazblue series), Chloe von Einzbern (Fate/kaleid liner Prisma Illya), Origa (Dragalia Lost), Tamamo-no-mae, Koyanskaya of Light, Koyanskaya of Darkness, Chevalier D'Eon, Boudica (Fate series), Elaine Auclair (The Legend of Heroes: Kuro no Kiseki), Yona (Akatsuki no Yona), Patty Fleur (Tales of Vesperia), Jean (Genshin Impact), Sombra (Overwatch, Japanese voice)"
130,Saitō Sōma,Leonhardt,"Tatsumi (Akame ga Kill!), Feather (Granblue Fantasy), Tsurumaru Kuninaga (Touken Ranbu), Rion Balthazar (Legend of Heroes: Kuro no Kiseki), Yoshikazu Miyano (Sasaki & Miyano), Adlet Mayer (Rokka no Yuusha), Kenshin Himura (Rurouni Kenshin (2023)), Lie Ren (RWBY: Ice Queendom), William James Moriarty (Moriarty the Patriot), Tenn Kujo (IDOLISH7), Adam (Record of Ragnarok), Lan Jingyi (Mo Dao Zu Shi/The Untamed), Lann (World of Final Fantasy), Kirschtaria Wodime (Fate Grand Order), Vinegar Doppio (Jojo's Bizarre Adventure: Golden Wind), Chongyun (Genshin Impact)"
131,Saitō Yuka,Cantabile,"Tamamo Sakuraba (Daitoshokan no Hitsujikai), Tae Takemi (Persona 5), Subaru Nagoyoshi (The IDOLM@STER Million Live!)"
132,Sakura Ayane,"Goldenglow, Nearl, Nearl the Radiant Knight","Cocoa Hoto (Is The Order A Rabbit?), Various characters in Kantai Collection, notably Shimakaze, Naka, and Nagato, Iroha Isshiki (My Teen Romantic Comedy SNAFU), Ran Mitake (BanG Dream!), Lin You (Dragalia Lost), Elza (Brave Frontier ReXona), Eleonora Yumizuru (Tokyo Mirage Sessions #FE), Yae Miko (Genshin Impact), Yuna Azetta (Tales of Crestoria), Yae Sakura (Honkai Impact 3rd), Minerva, Julia, Eleonora (Fire Emblem Heroes), Ruina, Yuna (Another Eden), Mario Gallo Bestino (Tsukihime (2021)), Kumiho Cookie (Cookie Run: Kingdom), Clarisse (Granblue Fantasy), Tsubaki Sawabe (Your Lie in April), Bort (Land of the Lustrous), Ochaco Uraraka (My Hero Academia), Yotsuba Nakano (The Quintessential Quintuplets), Fiona Frost (Spy x Family), Mono (""Shadowverse""), Queen Medb, Miyamoto Musashi, Mochizuki Chiyome (Fate/Grand Order)"
133,Sakura Kaoru,Andreana,"Chitose Kurosaki (The Idolmaster Cinderella Girls), Elle (Shoujo Kageki Revue Starlight: RE LIVE), Isabelle (Shadowverse)"
134,Sakurai Takahiro,Passenger,"Haseo (.hack), Rohan Kishibe (JoJo's Bizarre Adventure: Diamond is Unbreakable and Thus Spoke Kishibe Rohan), Giyu Tomioka (Demon Slayer: Kimetsu no Yaiba), Crow Armbrust (The Legend of Heroes: Trails of Cold Steel), Cloud Strife (Final Fantasy VII), Lucifer, Lucio, Lucillius, Helel ben Sahar, Shao, Black Beast, Bobo (Granblue Fantasy), Leif, Orion (Dragalia Lost), Sasori (Naruto), Shion (Another Eden), Esker (King's Raid), Orta (Gran Saga), Albert Hawke (The Saint Magic Power is Omnipotent), Yuri Shibuya (Kyo Kara Maoh), Reigen Arataka (Mob Psycho 100), Jenos Hazard (Black Cat), Kazuya Miyuki (Ace of Diamond), Zombieman (One Punch Man), Fakir (Princess Tutu), Ayame Soma (Fruits Basket (2019)), Patry/Licht (Black Clover), F Scott Fitzgerald (Bungou Stray Dogs), Griffith (Berserk), Diablo (That Time I Got Reincarnated as a Slime), Geto Suguru (Jujutsu Kaisen), Sting Eucliffe (Fairy Tail), X (Megaman X series from X8 onwards), Jin (Xenoblade Chronicles 2), Ashley Winchester (Wild Arms II), Suzaku Kururugi (Code Geass), Medicine Seller (Mononoke), Asbel Lhant (Tales of Graces), Jonathan Morris (Castlevania: Portrait of Ruin), Grøh (Soul Calibur VI), Eliwood (Fire Emblem Echoes: Shadows of Valentia and Fire Emblem Heroes), Lukas, Julius (Fire Emblem Heroes), Merlin, Arthur Pendragon (Fate series), Kurasame Susaya (Final Fantasy Type-0), Arihiko Inui (Tsukihime), Meme Oshino (Monogatari Series), Tentomon (Digimon Adventure), Guiche de Gramont (The Familiar of Zero), Ferid Bathory (Owari no Seraph)"
135,Sanpei Yūko,Aak,"Boruto Uzumaki (Boruto), Chizuru Yoshida (Kimi ni Todoke), Bud (Legend of Mana: The Teardrop Crystal), Tsubasa Ozora (Captain Tsubasa (2018)), Ryo Akizuki (The Idolmaster SideM), Taichi Yagami (Digimon Adventure (2020)), Philo (Another Eden), Furias (Granblue Fantasy), Manny Rivera/El Tigre (The Adventured of Manny Rivera), Renton Thurston (Eureka Seven), Mika (Genshin Impact)"
136,Sasahara Yu,Paprika,"Emilico (Shadows House), Akari Amano (Ms. Vampire Who Lives in My Neighbourhood), Curren Chan (Uma Musume Pretty Derby), Kirin (Azure Striker Gunvolt 3 & Gunvolt Chronicle: Luminous Avenger iX 2), Anisage (Shadowverse)"
137,Satō Gen,Qanipalaat,"Chrome (Dr Stone), Yo Kamori (Call of the Night), Ichibanboshi (Shine On! Bakumatsu Bad Boys!), Sosaku Yubiwa (Pretty Boys Detective Club), Saul (Fire Emblem Heroes)"
138,Satō Rina,"Skadi, Skadi the Corrupting Heart, Vulcan","Yukiko Kanzaki (Assassination Classroom), Lucille (""Shadowverse""), Matrona (Seven Deadly Sins), Rei Hino (Sailor Moon Crystal), Shura Kirigakure (Ao no Exorcist), Velvet Crowe (Tales of Berseria), Ange Ushiromiya (Umineko no Naku Koro Ni), Chihiro Senkawa (The Idolmaster Cinderella Girls), Mora Chester (Rokka no Yuusha), Hayato Kawajiri (JoJo's Bizarre Adventure: Diamond is Unbreakable), Dahlia Hawthorne, Sister Iris (Ace Attorney), Liliane Vehlendorf (Mana Khemia 2: Fall of Alchemy), Senjumaru Shutara (Bleach: Thousand Year Blood War), Amy (Another Eden), Lakshmibai (Fate Grand Order), Presa (Tales of Xillia), Ange Ushiromiya (Umineko), Feeva (Brave Frontier ReXona), Makoto Niijima (Persona 5), Yin / Rixia Mao (The Legend of Heroes: Trails from Zero and Trails to Azure), Misaka Mikoto (To Aru Kagaku Railgun), Eula (Genshin Impact), Tien/Esser (Granblue Fantasy), Vert/Green Heart (Neptunia series), Earhart, Magnhilda (Neural Cloud), Ranko Mannen (Akiba Maid War)"
139,Satō Satomi,Dorothy,"Tamura Manami (Oreimo), Runie (Shadowverse), Wendy Marvell (Fairy Tail), Queen of Sheba (Fate Grand Order), Female Corrin & Kanna (Fire Emblem Fates, Heroes & Warriors, Engage), Mizuki Shibata (The Irregular at Magic High School), Aria Shichijou (Seitokai Yakuindomo), Selena (Punishing: Gray Raven), Ara Han (Elsword), Eru Chitanda (Hyouka), Ritsu Tainaka (K-On!), Tsumugi Takanashi (IDOLiSH7), Chiya Ujimatsu (Is The Order A Rabbit?), Magilou (Tales of Berseria)"
140,Satō Takuya,"12F, Midnight","Kazutaka Shindo (Assassination Classroom), Lu Woh (Granblue Fantasy), Alphen (Tales of Arise), Machia Regnitz (Legend of Heroes: Trails of Cold Steel), Hot Rod (Transformers: Cyberverse), Oscar Bale (Helios Rising Heroes), Abel, Conrad (Fire Emblem Heroes), Caesar Zeppeli (JoJo's Bizarre Adventure), Shokudaikiri Mitsutada (Touken Ranbu), Yasushi Kamasaki (Haikyuu!)"
141,Sekine Akira,Heidi,"Raku Ichijou (young) (Nisekoi), Valerie (Legend of Mana: The Teardrop Crystal), Gudako/ Female Ritsuka Fujimaru (Fate Grand Order), Charlotte (Princess Principal)"
142,Sendai Eri,Toddifons,"Arika Amazake (Medarot), Toka Takanashi (Love, Chunibyo & Other Delusions), Tsubaki Kasugano (Future Diary), Rei Saotome (Yu-Gi-Oh! GX), Kurumi Mimino (Yes! Precure 5)"
143,Seto Asami,Ceobe,"Mai Sakurajima (Rascal Does Not Dream of Bunny Girl Senpai), Chihaya Ayase (Chihayafuru), Theodora (Gran Saga), Jessica, Azusa (Granblue Fantasy), Nobara Kugisaki (Jujutsu Kaisen), Shino Madarame (Bleach Thousand Year Blood War), Raphtalia (The Rising of the Shield Hero), IWS-2000, Contender (Girls' Frontline), Sara Kujou (Genshin Impact), Sumisora Tsubasa (""B-PROJECT""), Kasane Randall (Scarlet Nexus)"
144,Shimazaki Nobunaga,Tequila,"Kamui, Corrin (Fire Emblem Fates), Jamil (Granblue Fantasy), Shiloh (Legend of Mana: The Teardrop Crystal), Soma Yuki (Fruits Basket (2019) ), Haruka Nanase (Free!), Mahito (Jujutsu Kaisen), Maiser (Shadowverse), Manato (Grimgar of Fantasy and Ash), Garambarrel (Another Eden), Ollerus (To Aru Majutsu no Index), Wen Ning (Mo Dao Zu Shi/ The Untamed), Previous Student Council President (Kaguya-sama: Love Is War -Ultra Romantic-), Warrior of Light/Wol (Mobius Final Fantasy), Aldred, Barbatos (Dragalia Lost), Licht Jekylland Todoroki (Servamp), Clover Cookie (Cookie Run: Kingdom), Corax (Alchemy Stars), Eugeo (Sword Art Online: Alicization), Kazuha Kaedehara (Genshin Impact), Ritsuka Fujimaru, Edmond Dantes, Arjuna (Fate/Grand Order), Itsuka Shidou (Date A Live), Shinichi Izumi (Parasyte)"
145,Shimizu Risa,Shining,"Alune (League of Legends), Amira (Shingeki no Bahamut), Laura (Shadowverse), Female V (Cyberpunk 2077)"
146,Shimoda Asami,"Lancet-2, Vigna","Ami/Mami Futami (The iDOLM@STER), Nanaba (Attack on Titan), Lingyin Huang (Infinite Stratos), Karia Nevan (Tales of the Rays), Rin/Len Kagamine (Vocaloid)"
147,Shimoji Shino,Myrtle,"Homura/Pyra, Hikari/Mythra (Xenoblade Chronicles 2), Shionne (Tales of Arise), Karia (Tales of The Rays), Yuka Nakano (The Idolmaster Cinderella Girls), Nakayama Festa (Uma Musume: Pretty Derby)"
148,Shindō Kei,Asbestos,"Semiramis (Fate series), Temperance (Granblue Fantasy), Kyoka Jiro (My Hero Academia), Entoma Vasilissa Zeta (Overlord), Lillie (Pokemon 2019), Inukashi (No.6), Nyoro (World's End Club), Kuro Kagami (Kodomo No Jikan)"
149,Shirai Yūsuke,Jaye,"Ramuda Amemura (Hypnosis Mic: Division Rap Battle), Mordred (Granblue Fantasy), Epimetheus (Dragalia Lost), Yamato Nikaido (IDOLiSH7)"
150,Shiraishi Haruka,Iris,"Chiyoko Sonoda (THE IDOLM@STER Shiny Colors), Asirpa (Golden Kamuy), Kona (Granblue Fantasy), Aoi Hinata (OreSuki), Kirie Motoba (Himouto! Umaru-chan), Fumino Furuhashi (We Never Learn)"
151,Shiraishi Ryōko,"Cliffheart, Fang","Chouchou Akimichi (Boruto), Fuu/Matatabi (Naruto), Rem Tokimiya (Final Fantasy Type-0), Asuka Kazama (Tekken), Jude Maxwell (Wild Arms IV), Elliot Craig (The Legend of Heroes: Trails of Cold Steel), Macaron (Amagi Brilliant Park), Spider Demon Daughter (Demon Slayer: Kimetsu no Yaiba), Schrödinger (Hellsing Ultimate), Hime ""Onihime"" Onizuka (Sket Dance), Naga (Beelzebub), Societte (Granblue Fantasy), Hayate Ayasaki (Hayate the Combat Butler: Can't Take My Eyes Off You), Alexandra Trese (Trese), Arlan (Honkai Star Rail)"
152,Shirasu Saho,Astgenne,"Mio Kofune (Summer Time Rendering), Hannah (Neural Cloud)"
153,Sonozaki Mie,FEater,"Jeanne (Bayonetta), Sen no Rikyu (Fate Grand Order), Sora Shiun'in (Yu-Gi-Oh! Arc-V), Cynthia (Pokemon Masters), Moira (Overwatch, Japanese voice), Ilsa (Granblue Fantasy), Ashelia B'nargin Dalmasca (Final Fantasy XII), Turing (Neural Cloud)"
154,Sugiura Shiori,Vanilla,"Sweep Tosho (Uma Musume: Pretty Derby), Ririka Kenzaki (Liz and the Blue Bird)"
155,Sugiyama Riho,Pinecone,"Diana (Brave Frontier ReXona), Aleis (Granblue Fantasy), Male Blaze Wizard (Maplestory), Henrietta Penrose (86)"
156,Suwa Ayaka,"Cuora, Gavial, Gavial the Invincible, Manticore","Matsuri Tokugawa (The IDOLM@STER Million Live!), Elise (Fire Emblem Fates), A2 (NieR: Automata), Negev (Girls' Frontline), Alex (Dragalia Lost), Touka (Assassination Classroom), Chris/Eris (Konosuba), Eltendiska (Log Horizon)"
157,Suwabe Junichi,Mr. Nothing,"Archer/Emiya (Fate/stay night), Siegfried (Fate/apocrypha), World End (Servamp), Theodore (Persona 3 Portable), Relius Clover (BlazBlue series), Shopkeeper (Spy x Family), Ran Nagisa (Ensemble Stars), Yami Sukehiro (Black Clover), Ryoumen Sukuna (Jujutsu Kaisen), Keigo Atobe (Prince of Tennis), Karte (Gran Saga), Grimmjow Jaegerjaquez (Bleach), Siatrich Wynknight (The Reason Why Raeliana Ended Up at the Duke's Mansion), Naveed (Dragalia Lost), Terence D'Arby (JoJo's Bizarre Adventure: Stardust Crusaders), Ren Nekoyashiki (Rental Magica), Leone Abbacchio (JoJo's Bizarre Adventure: Golden Wind), McBurn (The Legend of Heroes: Trails of Cold Steel), Lars Alexandersson (Tekken), Ren Jinguuji (Uta no Prince-sama), Seofon/Siete (Granblue Fantasy), Daiki Aomine (Kuroko no Basket), Undertaker (Black Butler), Dark Choco Cookie (Cookie Run: Kingdom), Tseng (Final Fantasy VII Remake), Claude (Another Eden), Seymour Guado (Final Fantasy X and X-2), Artem Wing/Shizuma Saikyou/Baek Eunhoo/Zuo Ran (Tears of Themis), Warrior of Darkness/Ardbert (Final Fantasy XIV), Victor Valentine (Helios Rising Heroes), Chronos (Tales Of Xillia 2), Urias (Shadowverse)"
158,Suzuki Chihiro,Steward,"Wu Kong (Dragalia Lost), Soichiro Arima (KareKano), Elfen Lied (Kouta), Agnes Berge (Super Robot Wars UX), T'nique Arcana (Star Ocean: First Departure), Shigino Kisumi (Free!), Luke fon Fabre/Asch the Bloody (Tales of the Abyss)"
159,Suzuki Minori,Sora,"Freyja Wion (Macross Delta), Sagiri/Amagiri (Kantai Collection), Agnes Digital (Uma Musume: Pretty Derby), Ena Shinonome (Project Sekai)"
