,CV,Roles,Other Roles
28,Hino Satoshi,Hung,"Ainz Ooal Gown (Overlord), Sai (Naruto Shippuden), Orologia (Granblue Fantasy), Kevin Kaslana (Honkai Impact 3rd), Nao Serizawa (Free!), Wylfred (Valkyrie Profile: Covenant of the Plume), Prince Castor (Bravely Default 2), Johngalli A. (JoJo's Bizarre Adventure: Stone Ocean), Gast Adler (Helios Rising Heroes), Mikhail Renfred (The Ancient Magus' Bride), Napoleon Bonaparte (Fate Grand Order), Leonhardt (The Saint Magic Power is Omnipotent), Lille Barro (Bleach: Thousand Year Blood War), Ezreal (League of Legends), Saito Hiraga (The Familiar of Zero), Yuji Sakai (Shakugan no Shana), Daichi Sawamura (Haikyuu!), Kyojuro Rengoku (Demon Slayer: Kimetsu no Yaiba), Takuto Maruki (Persona 5 Royal)"
29,Hirakawa Daisuke,Courier,"Noriaki Kakyoin (Jojo's Bizarre Adventure: Stardust Crusaders), Rei Ryugazaki (Free!), Starscream (Transformers: Robots In Disguise), Yamanami Keisuke (Fate Grand Order), Melvin Weins (The Case Files of Lord El-Melloi), Ace of Hearts (Heart no Kuni no Alice), Susabi (Onmyouji), Chrome (Punishing: Gray Raven), Senbonzakura (Bleach), Enmu (Kimetsu no Yaiba), Irvine Kinneas (Final Fantasy VIII), Sampo (Honkai Star Rail), Rufus Albarea, Cao Lee (The Legend of Heroes: Trails of Cold Steel)"
30,Hirano Aya,Flametail,"Lucy Heartfilia (Fairy Tail), Konata Izumi (Lucky Star), Beatrix, Alexiel (Granblue Fantasy), Lumière (Kiddy Grade), Ume Kurumizawa (Kimi ni Todoke), Botan (Dragalia Lost), Kahlua/Tequila Marjoram (Galaxy Angel II), Kanonno Grassvalley (Tales of The World Radiant Mythology 3), Rin (Catherine: Full Body), Prishe (Final Fantasy XI), Misa Amane (Death Note), Haruhi Suzumiya (The Melancholy of Haruhi Suzumiya), Dende (Dragon Ball Z), Okachimachi (Akiba Maid War)"
31,Hirohashi Ryō,"Jessica, Shaw","Masaomi Kida (Durarara!), Aoi Yamada (Working!), Minoru Mineta (My Hero Academia), Sen (Granblue Fantasy), Chane Laforet (Baccano), Luna (Sailor Moon Crystal), Chouji Marukura (Bakugan), Soyo Tokugawa (Gintama), Shirley Fennes (Tales of Legendia), Hina Sorasaki (Blue Archive), Kyou Fujibayashi (Clannad), Miles ""Tails"" Prower (Sonic the Hedgehog)"
32,Hisakawa Aya,Kjera,"Sailor Mercury (Sailor Moon), Sōma Yuki (Fruits Basket (2001)), Silva (Granblue Fantasy), Cerberus (Cardcaptor Sakura), Takius (Ragnarok: The Animation), Retsu Unohana (Bleach), Rena Lanford (Star Ocean: The Second Story), Palutena (Kid Icarus Uprising), Cerrine (Another Eden), Judith (Tales of Vesperia), Bulma (Dragon Ball Super), Arianrhod (The Legend of Heroes: Trails to Azure/Trails of Cold Steel), Palutena (Kid Icarus: Uprising)"
33,Honda Mariko,Kazemaru,"Uzume Tennouboshi and Kurome Ankokuboshi (Neptunia series), AA-12 (Girls' Frontline), Sandrone (Genshin Impact), Yuuko Aioi (Nichijou)"
34,Hondo Kaede,Suzuran,"Elaina (Wandering Witch: The Journey of Elaina), Pinon (Dragalia Lost), Ciel (Tsukihime (2021))), Shigeru Kamado (Kimetsu no Yaiba), Iris & Arche (Gran Saga), Vex (League of Legend), Aoi Shibuya (Digimon Survive), Firis Mistroot (Atelier series), Cindy (Grand Chase for Kakao), Hifumi Ajitani (Blue Archive), Haruka Konoe (Love Live! Nijigasaki High School Idol Club), Tabina (Granblue Fantasy), Sakura Minamoto (Zombieland Saga), Kaede Honjo/Maple (Bofuri), Eiko Tsukimi (Ya Boy Kongming!)"
35,Horie Yui,Surtr,"Hanyu (Higurashi no Naku Koro ni), Siesta (The Familiar of Zero), Alisa Reinford (The Legend of Heroes: Trails of Cold Steel), Naru Narusegawa (Love Hina), Kumbhira (Granblue Fantasy), Chie Satonaka (Persona 4), Hitomi (Dead or Alive series), Tsurara Oikawa, Setsura (Nurarihyon no Mago), Teresa Linares (Tales of Berseria), Fenrir (Pretear), Maria Ushiromiya (Umineko no Naku Koro ni), Yuki Cross (Vampire Knight), Oryou, Charlotte Corday (Fate Grand Order), Cotton Cookie (Cookie Run: Kingdom), Tohru Honda (Fruits Basket (2001)), Tsubasa Hanekawa (Monogatari), Carla (Fairy Tail), Wiz (Konosuba), Serena Cadenzavna Eve (Senki Zesshou Symphogear), Nepgear (Neptunia series), Faruzan (Genshin Impact)"
36,Iguchi Yuka,"Hibiscus, Hibiscus the Purifier, Saria","Index Librorum Prohibitorum (A Certain Magical Index), Mea Kurosaki (To Love-Ru Darkness), Voyager (Fate series), Koleda Belobog (Zenless Zone Zero), Kurami Zell (No Game No Life), Crush Karsten (Re:Zero), Lily (Granblue Fantasy), Lu (Elsword), Cow Girl (Goblin Slayer), Mako Reizei (Girls und Panzer), Hinata Miyake (A Place Further Than The Universe), Various characters in Kantai Collection, notably Kaga, Miku Kohinata & Shem-ha (Senki Zesshou Symphogear), IJN Kaga (Azur Lane)"
37,Iida Tomoko,Tulip,Kanade Hayami (The iDOLM@STER Cinderella Girls)
